기준연월,사용본거지시읍면동_행정동기준,차명,연료,최초등록일,현소유자의출생년도
2015-12,서울특별시 송파구 송파2동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-09-23,1971
2015-12,서울특별시 송파구 송파2동,K5 하이브리드,하이브리드(휘발유+전기),2012-11-01,
2015-12,서울특별시 송파구 오금동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-03-13,1971
2015-12,서울특별시 송파구 오금동,렉서스 ES300h,하이브리드(휘발유+전기),2014-11-21,1953
2015-12,서울특별시 송파구 오금동,렉서스 ES300h,하이브리드(휘발유+전기),2014-01-17,1942
2015-12,서울특별시 송파구 오금동,토요타 PRIUS,하이브리드(휘발유+전기),2011-02-18,1953
2015-12,서울특별시 송파구 오금동,K5 하이브리드,하이브리드(휘발유+전기),2014-04-17,1980
2015-12,서울특별시 송파구 오금동,토요타 PRIUS,하이브리드(휘발유+전기),2011-01-21,1952
2015-12,서울특별시 송파구 오금동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-03-04,1988
2015-12,서울특별시 송파구 오륜동,K5 하이브리드,하이브리드(휘발유+전기),2014-09-18,1983
2015-12,서울특별시 송파구 오륜동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-11-20,1973
2015-12,서울특별시 송파구 오륜동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-08-09,1965
2015-12,서울특별시 송파구 오륜동,포르테하이브리드,하이브리드(LPG+전기),2011-01-03,1973
2015-12,서울특별시 송파구 오륜동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2013-11-14,1967
2015-12,서울특별시 송파구 오륜동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-12-18,1970
2015-12,서울특별시 송파구 위례동,K5 하이브리드,하이브리드(휘발유+전기),2014-02-20,1983
2015-12,서울특별시 송파구 위례동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-11-12,1974
2015-12,서울특별시 송파구 위례동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-01-02,1983
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-09-07,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2014-06-27,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-10-21,1966
2015-12,서울특별시 강남구 역삼1동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-09-04,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2014-02-26,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-06-30,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2014-04-30,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-10-22,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-10-13,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2014-09-25,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-10-28,
2015-12,서울특별시 강남구 역삼1동,토요타 PRIUS,하이브리드(휘발유+전기),2013-11-28,
2015-12,서울특별시 강남구 역삼1동,토요타 PRIUS,하이브리드(휘발유+전기),2014-11-26,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-05-15,
2015-12,서울특별시 강남구 역삼1동,토요타 Camry Hybrid,하이브리드(휘발유+전기),2015-12-04,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2014-05-20,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-02-23,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2014-08-26,
2015-12,서울특별시 강남구 역삼1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-09-23,
2015-12,서울특별시 용산구 원효로2동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-11-02,1985
2015-12,서울특별시 용산구 원효로2동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2011-09-05,
2015-12,서울특별시 용산구 원효로2동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2011-09-05,
2015-12,서울특별시 용산구 원효로2동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2014-06-09,
2015-12,서울특별시 용산구 이촌1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-12-23,1954
2015-12,서울특별시 용산구 이촌1동,렉서스 ES300h,하이브리드(휘발유+전기),2015-09-25,1966
2015-12,서울특별시 용산구 이촌1동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-11-30,1962
2015-12,서울특별시 용산구 이촌1동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-05-25,1952
2015-12,서울특별시 용산구 이촌1동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-03-14,1942
2015-12,서울특별시 용산구 이촌1동,포르테 하이브리드,하이브리드(LPG+전기),2009-09-07,1949
2015-12,서울특별시 용산구 이촌1동,K5 하이브리드,하이브리드(휘발유+전기),2011-12-15,1977
2015-12,서울특별시 용산구 이촌1동,토요타 PRIUS,하이브리드(휘발유+전기),2015-03-13,1971
2015-12,서울특별시 용산구 이촌1동,렉서스 ES300h,하이브리드(휘발유+전기),2013-07-29,1972
2015-12,서울특별시 용산구 이촌2동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-05-24,1967
2015-12,서울특별시 용산구 이태원1동,렉서스 NX300h,하이브리드(휘발유+전기),2015-12-18,1972
2015-12,서울특별시 용산구 이태원1동,BMW i3,전기,2015-07-31,1972
2015-12,서울특별시 용산구 이태원1동,렉서스 LS600hL,하이브리드(휘발유+전기),2011-07-26,1970
2015-12,서울특별시 용산구 이태원2동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-06-11,1978
2015-12,서울특별시 광진구 광장동,K5 하이브리드,하이브리드(휘발유+전기),2015-04-21,1968
2015-12,서울특별시 광진구 광장동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-08-10,1961
2015-12,서울특별시 광진구 광장동,렉서스 ES300h,하이브리드(휘발유+전기),2014-09-29,1972
2015-12,서울특별시 광진구 광장동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-12-17,1972
2015-12,서울특별시 광진구 광장동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2011-11-18,1979
2015-12,서울특별시 광진구 광장동,렉서스 ES300h,하이브리드(휘발유+전기),2015-03-27,1953
2015-12,서울특별시 광진구 광장동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2013-10-17,1977
2015-12,서울특별시 광진구 구의1동,토요타 Camry Hybrid,하이브리드(휘발유+전기),2015-04-17,1968
2015-12,서울특별시 광진구 구의1동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-12-21,
2015-12,서울특별시 광진구 구의1동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2010-03-26,1979
2015-12,서울특별시 광진구 구의2동,K5 하이브리드,하이브리드(휘발유+전기),2012-08-31,1981
2015-12,서울특별시 광진구 구의2동,K5 하이브리드,하이브리드(휘발유+전기),2012-01-30,1982
2015-12,서울특별시 광진구 구의2동,토요타 PRIUS,하이브리드(휘발유+전기),2012-09-06,1970
2015-12,서울특별시 광진구 구의3동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2015-01-05,1976
2015-12,서울특별시 광진구 구의3동,렉서스 ES300h,하이브리드(휘발유+전기),2015-12-17,1965
2015-12,서울특별시 광진구 구의3동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-11-17,1983
2015-12,서울특별시 광진구 구의3동,포르테 하이브리드,하이브리드(LPG+전기),2009-11-26,1980
2015-12,서울특별시 광진구 구의3동,렉서스 ES300h,하이브리드(휘발유+전기),2015-09-08,1957
2015-12,서울특별시 송파구 잠실6동,렉서스 ES300h,하이브리드(휘발유+전기),2014-10-07,
2015-12,서울특별시 송파구 잠실7동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-03-25,1970
2015-12,서울특별시 송파구 잠실7동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-03-05,1955
2015-12,서울특별시 송파구 잠실7동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-08-13,1937
2015-12,서울특별시 송파구 잠실본동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2014-01-08,1981
2015-12,서울특별시 송파구 잠실본동,BMW i3,전기,2014-12-11,1950
2015-12,서울특별시 송파구 잠실본동,K5 하이브리드,하이브리드(휘발유+전기),2012-12-31,1985
2015-12,서울특별시 송파구 잠실본동,렉서스 ES300h,하이브리드(휘발유+전기),2014-09-25,1976
2015-12,서울특별시 송파구 잠실본동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-06-20,1956
2015-12,서울특별시 송파구 잠실본동,K5 하이브리드,하이브리드(휘발유+전기),2014-06-11,1983
2015-12,서울특별시 송파구 장지동,K5 하이브리드,하이브리드(휘발유+전기),2013-12-02,1977
2015-12,서울특별시 송파구 장지동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2012-07-02,
2015-12,서울특별시 송파구 장지동,K5 하이브리드,하이브리드(휘발유+전기),2014-11-06,1971
2015-12,서울특별시 송파구 장지동,렉서스 ES300h,하이브리드(휘발유+전기),2015-11-27,1977
2015-12,서울특별시 송파구 장지동,토요타 PRIUS,하이브리드(휘발유+전기),2012-09-25,1975
2015-12,서울특별시 송파구 장지동,K5 하이브리드,하이브리드(휘발유+전기),2014-06-25,1987
2015-12,서울특별시 송파구 장지동,토요타 PRIUS,하이브리드(휘발유+전기),2011-07-29,1984
2015-12,서울특별시 송파구 풍납1동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-03-02,
2015-12,서울특별시 용산구 이태원1동,K7 하이브리드,하이브리드(휘발유+전기),2014-05-09,1967
2015-12,서울특별시 용산구 이태원2동,BMW i3,전기,2014-12-26,1971
2015-12,서울특별시 용산구 청파동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2013-01-15,
2015-12,서울특별시 용산구 청파동,렉서스 ES300h,하이브리드(휘발유+전기),2013-03-19,1978
2015-12,서울특별시 용산구 한강로동,레이 전기차,전기,2013-01-08,
2015-12,서울특별시 용산구 한강로동,레이 전기차,전기,2013-01-08,
2015-12,서울특별시 용산구 한강로동,K5 하이브리드,하이브리드(휘발유+전기),2015-02-10,1981
2015-12,서울특별시 용산구 한강로동,토요타 PRIUS,하이브리드(휘발유+전기),2011-11-21,
2015-12,서울특별시 용산구 한강로동,렉서스 ES300h,하이브리드(휘발유+전기),2013-07-24,1959
2015-12,서울특별시 용산구 한강로동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2013-07-25,1957
2015-12,서울특별시 용산구 한강로동,프라이드 하이브리드,하이브리드(휘발유+전기),2008-08-27,
2015-12,서울특별시 용산구 한강로동,렉서스 CT200h,하이브리드(휘발유+전기),2013-10-16,
2015-12,서울특별시 용산구 한강로동,TOYOTA PRIUS,하이브리드(휘발유+전기),2011-02-17,
2015-12,서울특별시 용산구 한남동,렉서스 RX450h,하이브리드(휘발유+전기),2015-03-31,1944
2015-12,서울특별시 용산구 한남동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-09-24,1983
2015-12,서울특별시 용산구 한남동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-03-30,1969
2015-12,서울특별시 용산구 한남동,K5 하이브리드,하이브리드(휘발유+전기),2013-08-21,1971
2015-12,서울특별시 용산구 한남동,토요타 PRIUS,하이브리드(휘발유+전기),2009-12-16,1975
2015-12,서울특별시 용산구 효창동,CIVIC HYBRID,하이브리드(휘발유+전기),2009-02-27,1983
2015-12,서울특별시 송파구 삼전동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-08-06,1976
2015-12,서울특별시 송파구 삼전동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-11-26,1987
2015-12,서울특별시 송파구 삼전동,토요타 PRIUS,하이브리드(휘발유+전기),2014-07-30,1984
2015-12,서울특별시 송파구 삼전동,렉서스 RX450h,하이브리드(휘발유+전기),2013-09-23,
2015-12,서울특별시 송파구 삼전동,아반떼 하이브리드(AVANTE HYB,하이브리드(LPG+전기),2009-08-06,
2015-12,서울특별시 송파구 석촌동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2011-07-29,1983
2015-12,서울특별시 송파구 석촌동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2011-08-03,1963
2015-12,서울특별시 송파구 석촌동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2015-03-27,
2015-12,서울특별시 송파구 석촌동,토요타 PRIUS,하이브리드(휘발유+전기),2015-11-25,1983
2015-12,서울특별시 송파구 석촌동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-05-22,1971
2015-12,서울특별시 송파구 석촌동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-02-27,1970
2015-12,서울특별시 송파구 석촌동,그랜저 하이브리드 (GRANDEUR ,하이브리드(휘발유+전기),2015-05-14,1941
2015-12,서울특별시 송파구 송파1동,포르테 하이브리드,하이브리드(LPG+전기),2011-07-29,1979
2015-12,서울특별시 송파구 송파1동,CR-Z,하이브리드(휘발유+전기),2013-06-14,1980
2015-12,서울특별시 송파구 송파1동,토요타 PRIUS,하이브리드(휘발유+전기),2014-08-21,1974
2015-12,서울특별시 송파구 송파1동,토요타 PRIUS,하이브리드(휘발유+전기),2012-09-21,
2015-12,서울특별시 송파구 송파1동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-05-21,
2015-12,서울특별시 송파구 송파2동,렉서스 ES300h,하이브리드(휘발유+전기),2015-06-23,1946
2015-12,서울특별시 송파구 삼전동,K5 하이브리드,하이브리드(휘발유+전기),2012-11-30,1986
2015-12,서울특별시 송파구 석촌동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-12-04,1987
2015-12,서울특별시 송파구 석촌동,토요타 PRIUS,하이브리드(휘발유+전기),2013-05-21,1975
2015-12,서울특별시 송파구 석촌동,쏘나타(SONATA) 하이브리드,하이브리드(휘발유+전기),2013-05-08,1984
2015-12,서울특별시 송파구 석촌동,쏘울 EV,전기,2015-02-09,1976
2015-12,서울특별시 송파구 석촌동,렉서스 CT200h,하이브리드(휘발유+전기),2014-12-30,1983
2015-12,서울특별시 송파구 석촌동,쏘나타 (SONATA) 하이브리드,하이브리드(휘발유+전기),2012-12-04,1977
2015-12,서울특별시 송파구 석촌동,K5 하이브리드,하이브리드(휘발유+전기),2015-01-06,1969
2015-12,서울특별시 송파구 송파1동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-02-06,1975
2015-12,서울특별시 송파구 송파1동,렉서스 ES300h,하이브리드(휘발유+전기),2013-08-23,1961
2015-12,서울특별시 송파구 송파1동,쏘나타 하이브리드(SONATA HYB,하이브리드(휘발유+전기),2015-09-08,1948
2015-12,서울특별시 송파구 송파1동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-11-10,1968
2015-12,서울특별시 송파구 송파1동,토요타 PRIUS,하이브리드(휘발유+전기),2014-08-20,1977
2015-12,서울특별시 송파구 송파2동,K7 하이브리드,하이브리드(휘발유+전기),2014-07-01,1971
2015-12,서울특별시 송파구 송파2동,토요타 CAMRY Hybrid,하이브리드(휘발유+전기),2012-04-13,1970
2015-12,서울특별시 송파구 송파2동,그랜저(GRANDEUR) 하이브리드,하이브리드(휘발유+전기),2014-11-21,1962
