"","hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date"
"14863","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14864","Resort Hotel",1,207,2015,"September",39,26,1,1,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","208","NULL",0,"Transient",34,0,0,"Canceled","2015-03-03"
"14882","Resort Hotel",0,2,2016,"May",19,4,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit","9","NULL",0,"Transient",42,0,0,"Check-Out","2016-05-05"
"14883","Resort Hotel",0,1,2016,"June",26,21,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","A",0,"No Deposit","9","NULL",0,"Transient",65,0,0,"Check-Out","2016-06-22"
"14884","Resort Hotel",0,23,2015,"October",41,4,2,0,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","E",0,"No Deposit","314","NULL",0,"Contract",46.4,0,0,"Check-Out","2015-10-06"
"14900","Resort Hotel",1,93,2015,"July",28,5,2,5,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",1,1,0,"A","A",0,"No Deposit","243","NULL",0,"Contract",55.68,0,0,"Canceled","2015-04-03"
"14901","Resort Hotel",0,109,2016,"December",50,8,0,3,2,1,0,"BB","ESP","Direct","TA/TO",1,0,1,"A","C",3,"No Deposit","250","NULL",0,"Transient",49.02,0,2,"Check-Out","2016-12-11"
"14907","Resort Hotel",0,31,2016,"March",13,24,0,3,2,1,0,"BB","PRT","Online TA","TA/TO",1,0,1,"E","E",1,"No Deposit","240","NULL",0,"Group",85,0,1,"Check-Out","2016-03-27"
"14908","Resort Hotel",0,134,2017,"April",15,13,0,3,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,0,4,"D","D",1,"No Deposit","3","NULL",0,"Group",79.2,0,1,"Check-Out","2017-04-16"
"14910","Resort Hotel",0,241,2016,"August",33,13,2,6,3,0,0,"HB","PRT","Direct","Direct",1,0,2,"E","E",0,"No Deposit","NULL","NULL",0,"Transient",207,1,3,"Check-Out","2016-08-21"
"14911","Resort Hotel",0,192,2017,"August",33,17,2,8,3,0,0,"HB","PRT","Direct","Direct",1,1,3,"E","E",2,"No Deposit","NULL","NULL",0,"Transient",211.2,1,3,"Check-Out","2017-08-27"
"14912","Resort Hotel",1,249,2017,"August",33,19,2,6,3,0,0,"HB","PRT","Direct","Direct",1,1,3,"E","E",0,"No Deposit","NULL","NULL",0,"Transient",210.5,0,3,"Canceled","2017-02-02"
"14913","Resort Hotel",1,57,2015,"July",27,2,0,3,1,0,0,"BB","PRT","Direct","Direct",1,1,3,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",63,0,0,"Canceled","2015-06-14"
"14914","Resort Hotel",0,241,2015,"December",49,4,2,2,1,0,0,"BB","PRT","Direct","TA/TO",1,1,3,"A","E",1,"No Deposit","240","NULL",0,"Transient",29,0,4,"Check-Out","2015-12-08"
"14915","Resort Hotel",0,97,2016,"March",13,24,0,3,1,0,0,"BB","PRT","Online TA","Direct",1,1,4,"A","D",1,"No Deposit","NULL","NULL",0,"Transient",42.3,0,4,"Check-Out","2016-03-27"
"14916","Resort Hotel",0,126,2016,"April",17,22,1,2,1,0,0,"BB","PRT","Online TA","Direct",1,1,5,"A","D",1,"No Deposit","NULL","NULL",0,"Transient",44.1,0,4,"Check-Out","2016-04-25"
"14917","Resort Hotel",0,132,2016,"May",22,25,0,4,1,0,0,"BB","PRT","Online TA","Direct",1,1,6,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",57.8,0,4,"Check-Out","2016-05-29"
"14918","Resort Hotel",0,174,2016,"June",24,9,1,3,1,0,0,"BB","PRT","Online TA","Direct",1,1,7,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",63.9,0,4,"Check-Out","2016-06-13"
"14919","Resort Hotel",0,288,2016,"October",44,28,2,2,1,0,0,"BB","PRT","Online TA","Direct",1,1,8,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",39.7,0,4,"Check-Out","2016-11-01"
"14920","Resort Hotel",0,321,2016,"November",49,30,0,4,1,0,0,"BB","PRT","Online TA","Direct",1,1,9,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",39,0,4,"Check-Out","2016-12-04"
"14921","Resort Hotel",1,355,2016,"December",50,7,0,4,1,0,0,"BB","PRT","Online TA","Direct",1,2,10,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",38,0,4,"Canceled","2016-12-04"
"14922","Resort Hotel",0,185,2017,"February",8,24,2,2,1,0,0,"BB","PRT","Online TA","Direct",1,3,10,"A","A",2,"No Deposit","NULL","NULL",0,"Transient",39.6,0,5,"Check-Out","2017-02-28"
"14923","Resort Hotel",0,134,2017,"April",15,13,0,3,1,0,0,"BB","PRT","Online TA","Direct",1,4,11,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",61.5,0,5,"Check-Out","2017-04-16"
"14924","Resort Hotel",1,117,2017,"April",15,13,0,3,1,0,0,"BB","PRT","Online TA","Direct",1,4,11,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",61.5,0,4,"Canceled","2016-12-26"
"14925","Resort Hotel",0,125,2017,"April",16,21,2,2,1,0,0,"BB","PRT","Online TA","Direct",1,4,12,"A","A",2,"No Deposit","NULL","NULL",0,"Transient",61.5,0,4,"Check-Out","2017-04-25"
"14926","Resort Hotel",1,132,2017,"April",17,28,1,2,1,0,0,"BB","PRT","Online TA","Direct",1,4,13,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",61.5,0,4,"Canceled","2017-03-31"
"14927","Resort Hotel",0,12,2016,"April",16,15,0,2,2,0,0,"BB","ESP","Online TA","TA/TO",1,0,1,"D","E",0,"No Deposit","240","NULL",0,"Transient",75,0,1,"Check-Out","2016-04-17"
"14928","Resort Hotel",0,72,2016,"March",13,25,1,2,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"D","D",0,"No Deposit","250","NULL",0,"Transient",132,1,1,"Check-Out","2016-03-28"
"14930","Resort Hotel",0,61,2016,"December",53,30,0,1,1,0,0,"BB","PRT","Online TA","Direct",1,0,3,"A","C",0,"No Deposit","240","NULL",0,"Transient-Party",75,0,0,"Check-Out","2016-12-31"
"14932","Resort Hotel",0,22,2017,"August",34,25,2,2,2,0,0,"BB","PRT","Direct","Direct",1,0,5,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",200,1,3,"Check-Out","2017-08-29"
"14933","Resort Hotel",1,37,2016,"March",13,24,1,3,2,0,0,"BB","PRT","Direct","Direct",1,2,1,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",73.75,0,2,"Canceled","2016-03-14"
"14934","Resort Hotel",0,0,2015,"December",50,9,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"D","D",0,"No Deposit","240","NULL",0,"Transient",40,0,0,"Check-Out","2015-12-10"
"14935","Resort Hotel",0,0,2016,"January",4,21,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,2,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",39,0,0,"Check-Out","2016-01-22"
"14936","Resort Hotel",0,0,2016,"March",13,22,0,1,1,0,0,"BB","PRT","Online TA","TA/TO",1,0,3,"A","B",0,"No Deposit","NULL","NULL",0,"Transient",53,0,0,"Check-Out","2016-03-23"
"14941","Resort Hotel",0,169,2016,"March",14,31,1,3,1,0,0,"BB","GBR","Groups","Direct",1,0,1,"A","A",1,"Refundable","NULL","223",0,"Transient-Party",60,0,0,"Check-Out","2016-04-04"
"14942","Resort Hotel",0,7,2017,"March",9,2,0,3,1,0,0,"BB","GBR","Groups","Corporate",1,0,2,"A","E",2,"No Deposit","NULL","223",0,"Transient-Party",29,1,0,"Check-Out","2017-03-05"
"14943","Resort Hotel",0,152,2017,"April",14,5,0,4,1,0,0,"BB","GBR","Groups","Corporate",1,0,3,"A","E",3,"No Deposit","NULL","223",0,"Transient-Party",42,0,0,"Check-Out","2017-04-09"
"14944","Resort Hotel",0,1,2017,"January",2,12,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",1,"No Deposit","NULL","272",0,"Transient-Party",35,0,0,"Check-Out","2017-01-13"
"14953","Resort Hotel",0,1,2015,"July",27,1,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,4,"A","B",0,"No Deposit","NULL","270",0,"Transient",134,0,0,"Check-Out","2015-07-02"
"14954","Resort Hotel",0,2,2015,"October",43,21,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,5,"A","A",0,"No Deposit","NULL","270",0,"Transient",48,0,0,"Check-Out","2015-10-22"
"14955","Resort Hotel",0,8,2016,"March",14,29,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,6,"A","A",0,"No Deposit","270","NULL",0,"Transient",42,0,0,"Check-Out","2016-03-31"
"14956","Resort Hotel",0,0,2016,"May",19,2,1,0,1,0,0,"BB","PRT","Corporate","Corporate",1,0,7,"A","D",1,"No Deposit","270","NULL",0,"Transient",42,0,0,"Check-Out","2016-05-03"
"14957","Resort Hotel",0,7,2016,"May",20,9,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,8,"A","A",0,"No Deposit","270","NULL",0,"Transient",42,0,0,"Check-Out","2016-05-11"
"14958","Resort Hotel",0,18,2016,"November",46,8,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,9,"A","C",0,"No Deposit","270","NULL",0,"Transient",30,0,0,"Check-Out","2016-11-10"
"14959","Resort Hotel",0,75,2016,"April",15,9,2,5,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"E","E",0,"No Deposit","240","NULL",0,"Transient",94,1,1,"Check-Out","2016-04-16"
"14961","Resort Hotel",0,3,2015,"October",40,1,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,1,"A","D",0,"No Deposit","NULL","28",0,"Transient-Party",48,0,0,"Check-Out","2015-10-02"
"14962","Resort Hotel",0,8,2016,"January",2,8,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,2,"A","E",0,"No Deposit","NULL","28",0,"Transient",38,0,0,"Check-Out","2016-01-09"
"14963","Resort Hotel",0,15,2016,"February",9,26,0,1,2,0,0,"BB","PRT","Corporate","Corporate",1,1,3,"A","E",2,"No Deposit","NULL","28",0,"Transient",45,0,1,"Check-Out","2016-02-27"
"14964","Resort Hotel",0,3,2016,"November",48,21,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","D",0,"No Deposit","NULL","120",0,"Transient",36,1,0,"Check-Out","2016-11-23"
"14965","Resort Hotel",0,4,2017,"February",6,6,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","D",0,"No Deposit","NULL","120",0,"Transient",42,1,1,"Check-Out","2017-02-08"
"14967","Resort Hotel",0,0,2015,"November",47,18,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",43,0,0,"Check-Out","2015-11-19"
"14968","Resort Hotel",0,0,2017,"February",7,17,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,2,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",54,0,0,"Check-Out","2017-02-18"
"14970","Resort Hotel",0,195,2017,"March",10,5,4,6,2,0,0,"BB","GBR","Groups","Direct",1,0,2,"A","H",2,"No Deposit","273","NULL",0,"Transient-Party",-6.38,0,0,"Check-Out","2017-03-15"
"14971","Resort Hotel",0,252,2017,"April",16,22,2,6,2,0,0,"HB","GBR","Complementary","TA/TO",1,0,3,"A","H",4,"No Deposit","273","NULL",0,"Transient-Party",0,0,1,"Check-Out","2017-04-30"
"15019","Resort Hotel",0,2,2017,"January",5,29,2,3,2,0,0,"BB","PRT","Online TA","TA/TO",1,0,1,"A","A",0,"No Deposit","240","NULL",0,"Transient",48,0,0,"Check-Out","2017-02-03"
"15020","Resort Hotel",0,6,2015,"November",46,9,1,3,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","E",1,"No Deposit","NULL","94",0,"Transient",25,0,0,"Check-Out","2015-11-13"
"15021","Resort Hotel",0,6,2015,"November",46,9,1,3,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","E",1,"No Deposit","NULL","94",0,"Transient",25,1,0,"Check-Out","2015-11-13"
"15022","Resort Hotel",0,11,2016,"February",6,1,1,3,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","D",0,"No Deposit","94","NULL",0,"Transient",27,0,0,"Check-Out","2016-02-05"
"15023","Resort Hotel",0,14,2016,"October",44,24,1,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","A",0,"No Deposit","94","NULL",0,"Transient",39,0,0,"Check-Out","2016-10-27"
"15024","Resort Hotel",0,7,2016,"November",45,3,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,4,"A","D",0,"No Deposit","94","NULL",0,"Transient",27,1,0,"Check-Out","2016-11-04"
"15025","Resort Hotel",0,14,2016,"October",44,24,1,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit","NULL","94",0,"Transient",39,0,0,"Check-Out","2016-10-27"
"15026","Resort Hotel",0,7,2016,"November",45,3,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","D",0,"No Deposit","94","NULL",0,"Transient",27,0,0,"Check-Out","2016-11-04"
"15028","Resort Hotel",0,191,2016,"April",17,22,1,2,2,0,0,"Undefined","PRT","Offline TA/TO","Direct",1,0,1,"A","A",1,"No Deposit","NULL","NULL",0,"Transient-Party",85.33,0,0,"Check-Out","2016-04-25"
"15029","Resort Hotel",0,96,2015,"December",53,29,0,5,2,0,0,"HB","PRT","Direct","Direct",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",120.02,0,1,"Check-Out","2016-01-03"
"15030","Resort Hotel",0,61,2016,"December",53,29,0,3,2,0,0,"HB","PRT","Direct","Direct",1,0,2,"D","D",1,"No Deposit","NULL","NULL",0,"Transient",171.33,1,1,"Check-Out","2017-01-01"
"15031","Resort Hotel",0,89,2015,"December",53,30,0,4,3,0,0,"HB","PRT","Offline TA/TO","TA/TO",1,0,1,"A","D",3,"No Deposit","NULL","NULL",0,"Transient",134.51,0,1,"Check-Out","2016-01-03"
"15032","Resort Hotel",0,49,2016,"December",53,30,0,2,2,0,0,"BB","PRT","Direct","TA/TO",1,0,2,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",225,0,1,"Check-Out","2017-01-01"
"15033","Resort Hotel",0,0,2015,"October",43,21,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","E",0,"No Deposit","NULL","286",0,"Transient",48,0,0,"Check-Out","2015-10-22"
"15034","Resort Hotel",0,3,2017,"January",2,9,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit","NULL","286",0,"Transient-Party",39,0,0,"Check-Out","2017-01-11"
"15035","Resort Hotel",1,3,2015,"July",29,16,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,1,3,"A","A",3,"No Deposit","NULL","77",0,"Transient",114,0,0,"Canceled","2015-07-15"
"15036","Resort Hotel",0,0,2015,"October",43,21,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,3,"A","E",0,"No Deposit","NULL","286",0,"Transient",48,0,0,"Check-Out","2015-10-22"
"15037","Resort Hotel",0,3,2017,"January",2,9,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,4,"A","A",0,"No Deposit","NULL","286",0,"Transient-Party",39,0,0,"Check-Out","2017-01-11"
"15041","Resort Hotel",0,81,2016,"May",19,3,2,7,2,0,0,"BB","IRL","Offline TA/TO","TA/TO",1,0,1,"D","D",1,"No Deposit","314","NULL",0,"Transient",52.56,0,0,"Check-Out","2016-05-12"
"15044","Resort Hotel",0,221,2017,"April",18,30,2,5,2,0,0,"HB","GBR","Groups","TA/TO",1,0,1,"A","A",0,"No Deposit","NULL","NULL",0,"Transient-Party",71.43,0,0,"Check-Out","2017-05-07"
"15047","Resort Hotel",0,0,2015,"November",46,12,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","F",0,"No Deposit","NULL","NULL",0,"Transient",45,0,1,"Check-Out","2015-11-13"
"15048","Resort Hotel",0,1,2015,"September",37,8,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit","NULL","270",0,"Transient",134,0,0,"Check-Out","2015-09-10"
"15049","Resort Hotel",0,1,2016,"May",21,17,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","D",0,"No Deposit","NULL","270",0,"Transient",42,0,0,"Check-Out","2016-05-19"
"15050","Resort Hotel",0,6,2016,"June",24,6,1,0,1,0,0,"BB","PRT","Corporate","Corporate",1,0,3,"A","A",0,"No Deposit","NULL","270",0,"Transient",57,0,0,"Check-Out","2016-06-07"
"15051","Resort Hotel",0,6,2016,"July",29,13,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,4,"A","D",0,"No Deposit","NULL","270",0,"Transient",65,0,0,"Check-Out","2016-07-14"
"15052","Resort Hotel",0,7,2016,"October",43,19,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,5,"A","E",0,"No Deposit","NULL","270",0,"Transient",42,0,0,"Check-Out","2016-10-21"
"15053","Resort Hotel",0,1,2016,"November",48,22,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,6,"A","D",0,"No Deposit","NULL","270",0,"Transient",30,0,0,"Check-Out","2016-11-23"
"15054","Resort Hotel",0,0,2016,"December",51,13,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,0,7,"A","E",0,"No Deposit","NULL","270",0,"Transient",30,0,0,"Check-Out","2016-12-15"
"15055","Resort Hotel",1,2,2017,"January",1,4,0,2,1,0,0,"BB","PRT","Corporate","Corporate",1,1,8,"A","A",1,"No Deposit","NULL","270",0,"Transient",35,0,0,"Canceled","2017-01-02"
"15056","Resort Hotel",0,2,2017,"February",7,15,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,8,"A","D",0,"No Deposit","NULL","270",0,"Transient",35,0,0,"Check-Out","2017-02-16"
"15057","Resort Hotel",0,1,2017,"March",13,28,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,1,9,"A","D",0,"No Deposit","NULL","270",0,"Transient",35,0,0,"Check-Out","2017-03-29"
"15058","Resort Hotel",0,5,2017,"May",19,8,1,2,1,0,0,"BB","PRT","Corporate","Corporate",1,1,10,"A","A",0,"No Deposit","270","NULL",0,"Transient",45,0,0,"Check-Out","2017-05-11"
"15059","Resort Hotel",0,0,2017,"May",18,2,0,2,2,0,0,"BB","ITA","Direct","Direct",1,0,1,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",85,0,1,"Check-Out","2017-05-04"
"15060","Resort Hotel",0,1,2016,"October",41,5,0,1,1,0,0,"BB","ESP","Online TA","TA/TO",1,0,1,"A","A",0,"No Deposit","339","NULL",0,"Transient",68.8,0,0,"Check-Out","2016-10-06"
"15061","Resort Hotel",0,2,2016,"December",51,14,0,0,1,0,0,"BB","ESP","Online TA","TA/TO",1,0,2,"A","D",0,"No Deposit","314","NULL",0,"Transient",0,0,0,"Check-Out","2016-12-14"
"15062","Resort Hotel",0,0,2017,"May",19,11,0,1,2,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","C",0,"No Deposit","NULL","NULL",0,"Transient",80,1,1,"Check-Out","2017-05-12"
"15063","Resort Hotel",0,0,2016,"November",47,16,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","D",0,"No Deposit","NULL","482",0,"Transient",40,0,0,"Check-Out","2016-11-17"
"15064","Resort Hotel",0,114,2015,"September",40,30,2,5,1,0,0,"BB","IRL","Online TA","TA/TO",1,0,1,"A","A",1,"No Deposit","240","NULL",0,"Transient",51,0,1,"Check-Out","2015-10-07"
"15065","Resort Hotel",0,1,2015,"July",30,19,1,0,1,0,0,"BB","PRT","Direct","Direct",1,0,1,"A","E",0,"No Deposit","NULL","NULL",0,"Transient",92.1,1,0,"Check-Out","2015-07-20"
"15066","Resort Hotel",0,1,2015,"September",38,15,0,2,1,0,0,"BB","PRT","Direct","Direct",1,0,2,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",4,1,0,"Check-Out","2015-09-17"
"15067","Resort Hotel",0,0,2015,"September",39,24,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,3,"D","I",1,"No Deposit","NULL","NULL",0,"Transient",81,1,0,"Check-Out","2015-09-25"
"15068","Resort Hotel",0,0,2016,"January",5,28,0,3,1,0,0,"BB","PRT","Direct","Direct",1,0,4,"D","D",0,"No Deposit","NULL","NULL",0,"Transient",45,1,0,"Check-Out","2016-01-31"
"15069","Resort Hotel",0,0,2016,"February",9,26,2,2,1,0,0,"BB","PRT","Direct","Direct",1,0,5,"A","A",2,"No Deposit","NULL","NULL",0,"Transient",46,1,0,"Check-Out","2016-03-01"
"15070","Resort Hotel",0,14,2016,"July",30,18,1,0,1,0,0,"BB","PRT","Direct","Direct",1,0,6,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",126,1,0,"Check-Out","2016-07-19"
"15071","Resort Hotel",0,0,2017,"January",5,31,0,4,1,0,0,"BB","PRT","Direct","Direct",1,0,7,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",47,1,1,"Check-Out","2017-02-04"
"15072","Resort Hotel",0,2,2017,"February",7,15,0,1,1,0,0,"BB","PRT","Direct","Direct",1,0,8,"A","I",0,"No Deposit","NULL","NULL",0,"Transient",60,1,1,"Check-Out","2017-02-16"
"15073","Resort Hotel",0,0,2017,"March",12,23,2,3,1,0,0,"BB","PRT","Direct","Direct",1,0,9,"A","D",1,"No Deposit","NULL","NULL",0,"Transient",70,1,1,"Check-Out","2017-03-28"
"15074","Resort Hotel",0,4,2017,"June",24,11,1,0,1,0,0,"BB","PRT","Direct","Direct",1,0,10,"A","D",0,"No Deposit","NULL","NULL",0,"Transient",115.2,1,1,"Check-Out","2017-06-12"
"15077","Resort Hotel",0,0,2015,"December",52,22,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit","NULL","94",0,"Transient",25,0,0,"Check-Out","2015-12-23"
"15084","Resort Hotel",0,1,2015,"July",29,15,0,1,2,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","C",0,"No Deposit","NULL","NULL",0,"Transient",508,1,0,"Check-Out","2015-07-16"
"15086","Resort Hotel",0,5,2015,"September",37,9,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","C",0,"No Deposit","NULL","200",0,"Transient",134,0,0,"Check-Out","2015-09-10"
"15087","Resort Hotel",0,1,2016,"May",20,11,0,0,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit","NULL","200",0,"Transient",0,0,0,"Check-Out","2016-05-11"
"15088","Resort Hotel",0,0,2015,"November",49,30,1,1,1,0,0,"BB","PRT","Direct","Direct",1,0,2,"A","A",0,"No Deposit","NULL","NULL",0,"Transient",38,0,0,"Check-Out","2015-12-02"
"15089","Resort Hotel",0,0,2016,"May",23,30,1,1,1,0,0,"BB","PRT","Direct","Direct",1,0,3,"A","A",1,"No Deposit","NULL","NULL",0,"Transient",63,0,0,"Check-Out","2016-06-01"
"15090","Resort Hotel",0,1,2017,"March",10,9,0,1,2,0,0,"BB","PRT","Online TA","Direct",1,0,4,"A","D",0,"No Deposit","240","NULL",0,"Transient",65,0,2,"Check-Out","2017-03-10"
